Feature,Importance
mean_10,1.0
lag_2,0.0
lag_1,0.0
lag_4,0.0
lag_5,0.0
lag_6,0.0
lag_3,0.0
lag_7,0.0
lag_8,0.0
lag_10,0.0
lag_9,0.0
vol_5,0.0
vol_20,0.0
rsi_14,0.0
std_20,0.0
