Feature,Importance
lag_13,0.08757715
lag_3,0.07732051
mean_10,0.07360997
lag_10,0.07035372
lag_6,0.068515144
rsi_14,0.065120354
lag_8,0.062102363
lag_2,0.06155438
lag_5,0.058948312
lag_1,0.058427144
vol_5,0.056837063
lag_14,0.05539692
lag_9,0.053592425
lag_16,0.051655293
lag_18,0.049942058
lag_7,0.04904715
lag_4,0.0
lag_17,0.0
lag_15,0.0
lag_11,0.0
lag_12,0.0
lag_20,0.0
lag_19,0.0
vol_20,0.0
std_20,0.0
