,Log_Return_RMSE,Log_Return_MAE,Log_Return_R²,Log_Return_Directional Accuracy (%),Price_RMSE,Price_MAE,Price_R²,Price_Directional Accuracy (%)
expanding_lag10,0.015118,0.010979,0.0032,54.55,34.221646,24.836179,0.9938,48.9
rolling_lag10,0.015156,0.010977,-0.0019,52.12,34.289121,24.822944,0.9938,48.51
expanding_lag20,0.015109,0.010984,-0.0016,54.32,34.250816,24.87884,0.9938,48.27
rolling_lag20,0.015144,0.010981,-0.0062,54.24,34.33135,24.871661,0.9938,48.27
expanding_lag30,0.015077,0.010964,-0.002,53.3,34.24438,24.875814,0.9938,48.9
rolling_lag30,0.015097,0.010936,-0.0046,52.59,34.260184,24.795831,0.9938,48.98
