f_date,close,Log_Return,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,vol_5,vol_20,rsi_14,mean_10,std_20
1997-08-20,169.76,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,0.0008204644941911909,0.002166183734282426,14.220183029627208,-0.0009380931833765944,0.002166183734282426
1997-08-21,169.57,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,0.001002044827795565,0.0021543279557033404,16.35883844584768,-0.0009332970629580165,0.0021543279557033404
1997-08-24,169.91,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,0.001209829790045593,0.0022603203092620284,25.876009805218118,-0.0006979295800480631,0.0022603203092620284
1997-08-26,169.57,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,0.001628055129794224,0.002262262099636653,24.80620065300566,-0.000980026035770964,0.002262262099636653
1997-08-27,169.87,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0018050107916691438,0.0023273150584696293,31.421445287031943,-0.00030564885959281836,0.0023273150584696293
1997-08-28,169.98,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,0.0017668242142517198,0.0021944693536970605,34.94897834365891,0.00035360715770269886,0.0021944693536970605
1997-08-31,169.64,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,0.001971227416202932,0.002203418006543749,32.61904653174605,0.0002124395936455051,0.002203418006543749
1997-09-01,170.13,0.0028843060876565033,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,0.0022107184570086744,0.002203932782571607,37.80219663905317,0.0005008702024111554,0.002203932782571607
1997-09-02,170.2,0.0004113654452274152,0.0028843060876565033,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0018228062281460896,0.0021691797304659428,47.48010433760887,0.00040033021792299417,0.0021691797304659428
1997-09-03,168.74,-0.008615147401792941,0.0004113654452274152,0.0028843060876565033,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0044223234528320415,0.002837906971456638,42.417060204173474,-0.0004906752181555276,0.002837906971456638
