f_date,close,Log_Return,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10
1997-08-05,171.16,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572,-0.0015605586498005331,0.0028339280410545208,-0.0021406470611804325,0.0,-0.0012706482014556528,-5.771839198161717e-05
1997-08-06,171.1,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572,-0.0015605586498005331,0.0028339280410545208,-0.0021406470611804325,0.0,-0.0012706482014556528
1997-08-07,171.24,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572,-0.0015605586498005331,0.0028339280410545208,-0.0021406470611804325,0.0
1997-08-10,170.39,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572,-0.0015605586498005331,0.0028339280410545208,-0.0021406470611804325
1997-08-11,169.38,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572,-0.0015605586498005331,0.0028339280410545208
1997-08-12,169.28,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572,-0.0015605586498005331
1997-08-13,169.28,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136,-0.004405804228231572
1997-08-14,169.52,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961,-0.002443140066969136
1997-08-17,169.57,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457,-0.0010488900209925961
1997-08-20,169.76,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657,-0.0009332711829985457
1997-08-21,169.57,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274,-0.001167815150822657
1997-08-24,169.91,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436,-0.00035061065046833274
1997-08-26,169.57,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766,0.0008179003785977436
1997-08-27,169.87,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483,-0.00497615404959766
1997-08-28,169.98,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187,-0.00594521573369483
1997-08-31,169.64,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0,-0.0005905628235183187
1997-09-01,170.13,0.0028843060876565033,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277,0.0
1997-09-02,170.2,0.0004113654452274152,0.0028843060876565033,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765,0.0014167652901090277
1997-09-03,168.74,-0.008615147401792941,0.0004113654452274152,0.0028843060876565033,-0.0020022384640902566,0.0006473444392603424,0.0017676177121837967,-0.0020030641786312657,0.0020030641786312016,-0.001119853946636878,0.0011198539466368061,0.0002949069589922765
